prompt,seed,width,height,sampler,cfgs,steps,filename,negative_prompt
wavy lines,3980787095,512,512,DPM++ 2M Karras,7,20,00000-3980787095.png,
"a striped pattern made up of blue and gold stripes. The blue stripes are positioned horizontally, while the gold stripes are placed vertically. The pattern creates a visually appealing design, with the blue stripes appearing to be slightly lighter than the gold stripes. The stripes are arranged in a way that creates a sense of depth and dimension, making the pattern more interesting and eye-catching.",3928234562,512,512,DPM++ 2M Karras,7,20,00001-3928234562.png,
"a wall with a striped pattern, consisting of alternating blue and yellow stripes. The stripes are arranged in a diagonal pattern, creating a visually appealing design. The wall appears to be a part of a building, and the stripes are clearly visible, covering the entire wall.",404055705,512,512,DPM++ 2M Karras,7,20,00002-404055705.png,
"a wall with a striking pattern of blue and yellow stripes. The stripes are arranged in a way that creates a visually appealing design, with the blue stripes being wider than the yellow ones. The wall is covered in these alternating stripes, creating a vibrant and eye-catching display.",1178488830,512,512,DPM++ 2M Karras,7,20,00003-1178488830.png,
"a colorful and abstract design, with a predominantly blue and yellow color scheme. The blue and yellow stripes are intertwined and create a visually striking pattern. The stripes are arranged in various directions, creating a sense of depth and complexity in the design. The overall effect is a vibrant and dynamic composition that captures the viewer's attention.",456823397,512,512,DPM++ 2M Karras,7,20,00004-456823397.png,
"a colorful and intricate pattern of blue, yellow, and orange stripes. The stripes are arranged in a zigzag pattern, creating a visually appealing design. The pattern is repeated multiple times throughout the image, showcasing the vibrant colors and the intricate arrangement of the stripes. The overall scene is a captivating display of color and design.",4168119515,512,512,DPM++ 2M Karras,7,20,00005-4168119515.png,
"a colorful striped wallpaper with a variety of colors, including blue, green, yellow, and orange. The wallpaper is arranged in a vertical pattern, creating a visually appealing and vibrant design. The stripes are of different widths, adding depth and texture to the overall appearance. The combination of these colors and the striped pattern creates a lively and dynamic atmosphere in the room.",1448454723,512,512,DPM++ 2M Karras,7,20,00006-1448454723.png,
"a colorful striped wall with a variety of vibrant colors. The wall is predominantly yellow, with several other colors interspersed throughout the stripes. These colors include red, blue, green, and purple, creating a visually striking and lively pattern. The wall appears to be a part of a building, and the stripes are arranged in a way that covers the entire wall, creating a captivating and dynamic backdrop.",2805405554,512,512,DPM++ 2M Karras,7,20,00007-2805405554.png,
"a colorful wall with a variety of bright colors, including red, yellow, blue, green, and orange. The wall is made up of several horizontal stripes, each painted in a different color. The stripes are arranged in a visually appealing manner, creating a vibrant and lively atmosphere. The wall's design showcases a bold and creative use of color, making it an eye-catching focal point in the space.",330712156,512,512,DPM++ 2M Karras,7,20,00008-330712156.png,
"a large room with a white ceiling and walls. The walls are adorned with three large, colorful paintings, each with a different color scheme. The paintings are positioned in a way that they appear to be hanging from the ceiling, creating a visually striking display. The room also contains a few other elements, such as a chair located towards the right side of the room and a clock on the wall. The combination of the vibrant paintings and the clean, white walls creates a modern and artistic atmosphere in the room.",807275768,512,512,DPM++ 2M Karras,7,20,00009-807275768.png,
"a large, open room with a hardwood floor and white walls. The room is adorned with a collection of artwork, including a variety of paintings and pictures hanging on the walls. There are at least 12 paintings displayed in the room, showcasing different styles and colors. In addition to the artwork, the room also contains a couch situated in the left corner, providing a comfortable seating area for relaxation or conversation. The combination of the artwork and the cozy couch creates an inviting and aesthetically pleasing atmosphere in the room.",3986283951,512,512,DPM++ 2M Karras,7,20,00010-3986283951.png,
"a cozy living room with a black wall and a white couch placed in the center. The couch is surrounded by several pillows, adding to the comfortable atmosphere. A coffee table is situated in front of the couch, and a lamp is placed nearby, providing additional lighting. In addition to the main couch, there are two other couches in the room, one on the left side and another on the right side. A chair is also present in the room, positioned close to the right couch. The room is adorned with a collection of paintings on the walls, creating a visually appealing and artistic environment.",247339118,512,512,DPM++ 2M Karras,7,20,00011-247339118.png,
"a large, modern living room with a black and white color scheme. The room is furnished with two couches, one located on the left side and the other on the right side. A coffee table is placed in the center of the room, surrounded by the couches. There are several books scattered around the room, with some placed on the coffee table and others on the floor. A vase can be seen on the right side of the room, adding a decorative touch to the space. The room also has a fireplace, which serves as a focal point and contributes to the cozy atmosphere.",2107387477,512,512,DPM++ 2M Karras,7,20,00012-2107387477.png,
"a large, open living room with a fireplace as the focal point. The room is filled with furniture, including a couch situated near the left side of the room, a chair on the right side, and a dining table in the middle. There are also two additional chairs in the room, one near the dining table and another closer to the right side of the room. A few books are scattered around the room, with one on the dining table and another on the floor near the couch. A vase can be seen on the dining table, adding a decorative touch to the space. The room is well-lit, with natural light coming in through the windows, creating a warm and inviting atmosphere.",2623760022,512,512,DPM++ 2M Karras,7,20,00013-2623760022.png,
"a spacious and well-lit living room with a large window that allows natural light to fill the room. The room is furnished with a couch, a dining table, and several chairs. The dining table is surrounded by chairs, and there is a vase placed on the table, adding a decorative touch to the space. In addition to the main furniture, there are a few other items in the room, such as a potted plant, a clock, and a couple of books. The living room also has a fireplace, which adds warmth and ambiance to the space. The overall atmosphere of the room is inviting and comfortable, making it an ideal space for relaxation and socializing.",3636029602,512,512,DPM++ 2M Karras,7,20,00014-3636029602.png,
"a spacious and well-lit living room with large windows that allow natural light to fill the space. The room features two couches, one positioned against the wall and the other placed in the center of the room. A chair is also present in the room, situated near the center couch. There are several potted plants scattered throughout the room, adding a touch of greenery and life to the space. Some of the plants are placed near the windows, while others are located closer to the furniture. A vase can be seen on a surface in the room, further enhancing the room's decor. The combination of furniture, plants, and natural light creates a comfortable and inviting atmosphere in the living room.",185524266,512,512,DPM++ 2M Karras,7,20,00015-185524266.png,
"a cozy living room with a large window that allows natural light to fill the space. The room is furnished with a couch and a coffee table, both placed near the window. There are several potted plants in the room, with one large plant on the left side, another on the right side, and a smaller one on the coffee table. In addition to the plants, there are two vases in the room, one on the coffee table and another on the floor. A chair is also present in the room, positioned near the couch. The overall atmosphere of the living room is inviting and comfortable, with the plants and natural light creating a pleasant environment.",3583770583,512,512,DPM++ 2M Karras,7,20,00016-3583770583.png,
"a spacious living room filled with various furniture and an abundance of potted plants. There are two couches in the room, one located on the left side and the other on the right side. A chair is also present, situated near the left couch. The living room is adorned with several potted plants, some of which are placed on the floor and others on the windowsill. The plants are of different sizes and are scattered throughout the room, adding a touch of greenery and life to the space. In addition to the plants, there are a few books placed on the floor, and a cup can be seen on a surface in the room. The overall atmosphere of the living room is cozy and inviting, with the plants and furniture creating a comfortable and relaxing environment.",1760002953,512,512,DPM++ 2M Karras,7,20,00017-1760002953.png,
"a spacious living room filled with various furniture and an abundance of potted plants. There are two couches in the room, one located on the left side and the other on the right side. A chair is also present, situated near the left couch. The living room is adorned with several potted plants, some of which are placed on the floor and others on the windowsill. The plants are of different sizes and are scattered throughout the room, adding a touch of greenery and life to the space. In addition to the plants, there are a few books placed on the floor, and a cup can be seen on a surface in the room. The overall atmosphere of the living room is cozy and inviting, with the plants and furniture creating a comfortable and relaxing environment.",1410282262,512,512,DPM++ 2M Karras,7,20,00018-1410282262.png,
"a cozy living room with a large window that allows natural light to fill the space. The room is furnished with a couch and a bench, both placed near the window. The couch is positioned on the right side of the room, while the bench is located on the left side. The living room is adorned with several potted plants, creating a lush and green atmosphere. There are three large potted plants placed around the room, with one on the left side, one in the center, and another on the right side. Additionally, there are two smaller potted plants, one on the left side and another on the right side of the room. The combination of the plants and the natural light from the window creates a serene and inviting environment.",3475661887,512,512,DPM++ 2M Karras,7,20,00019-3475661887.png,
"a cozy living room with a large couch situated in the center of the space. The couch is surrounded by several potted plants, creating a lush and green atmosphere. There are at least five potted plants in the room, with some placed near the couch and others scattered around the room. In addition to the plants, there are two vases in the room, one located near the couch and the other placed further away. A book can be seen on the couch, possibly indicating that someone was recently reading or relaxing in the room. The overall ambiance of the living room is inviting and comfortable, with the plants and furniture creating a pleasant environment.",2277010900,512,512,DPM++ 2M Karras,7,20,00020-2277010900.png,
"dots
",384121789,512,512,DPM++ 2M Karras,7,20,00021-384121789.png,
"dots
",384121789,512,512,DPM++ 2M Karras,7,20,00022-384121789.png,
"dots
",384121789,512,512,DPM++ 2M Karras,7,20,00023-384121789.png,
"a large, colorful, and abstract painting with a variety of shapes and colors. The painting is predominantly green, with a mix of blue and pink hues. The shapes are scattered throughout the painting, creating a visually engaging and dynamic composition. The colors and shapes are arranged in a way that gives the impression of a mosaic or a collage of different elements. The overall effect is a vibrant and lively artwork that captures the viewer's attention.",3087866512,512,512,DPM++ 2M Karras,7,20,00024-3087866512.png,
"a vibrant and colorful painting featuring a variety of shapes and colors. The painting is predominantly yellow, with blue and green accents throughout the composition. The artwork is a collage of different shapes and colors, creating a visually striking and dynamic piece. There are several distinct shapes in the painting, including a large triangle on the left side, a smaller triangle on the right side, and a square in the middle. The painting also features a few circles, with one in the upper left corner, another in the upper right corner, and a third one in the lower right corner. The combination of these shapes and colors creates a lively and engaging visual experience.",3684710363,512,512,DPM++ 2M Karras,7,20,00025-3684710363.png,
"a colorful painting with a variety of shapes and colors. The painting is predominantly blue, with several other colors such as red, yellow, and green, creating a vibrant and lively scene. The shapes in the painting include triangles, squares, and rectangles, which are arranged in different patterns and sizes. There are at least 13 distinct triangles in the painting, with some larger and more prominent than others. The triangles are scattered throughout the painting, with some positioned closer to the edges and others more towards the center. The combination of colors and shapes creates a visually engaging and dynamic artwork.",565507324,512,512,DPM++ 2M Karras,7,20,00026-565507324.png,
"a colorful abstract painting with a variety of shapes and colors. The painting is predominantly green, with blue and orange accents throughout. The shapes are irregular and create a sense of depth and movement in the artwork. The painting is displayed on a wall, showcasing the vibrant colors and intricate patterns.",2104230678,512,512,DPM++ 2M Karras,7,20,00027-2104230678.png,
"a vibrant and colorful abstract painting with a variety of shapes and colors. The painting is predominantly blue, with a few orange and green elements scattered throughout. The composition is characterized by a mix of geometric shapes and organic forms, creating a dynamic and visually engaging piece of art. In the center of the painting, there is a large, curved shape that stands out, surrounded by smaller shapes and colors. The overall effect is a lively and energetic artwork that captures the viewer's attention.",1903994689,512,512,DPM++ 2M Karras,7,20,00028-1903994689.png,
"a large, colorful painting with a variety of shapes and colors. The painting is predominantly blue, with a mix of red, green, and yellow hues. The composition is made up of numerous squares and rectangles, creating a visually engaging and dynamic piece of art. The painting is displayed on a wall, showcasing its vibrant colors and intricate design.",449531479,512,512,DPM++ 2M Karras,7,20,00029-449531479.png,
"a colorful abstract painting with a variety of shapes and colors. The painting is predominantly blue, with a mix of red, yellow, and green hues throughout the composition. The shapes are irregular and seem to be cut out of the painting, creating a collage-like effect. There are several distinct shapes in the painting, including a large triangle on the left side, a smaller triangle on the right side, and a few smaller shapes scattered across the canvas. The overall impression is one of vibrant energy and artistic expression.",573313199,512,512,DPM++ 2M Karras,7,20,00030-573313199.png,
"a colorful painting with a variety of shapes and colors. The main focus is a green triangle, which is positioned in the center of the painting. The triangle is surrounded by several other triangles of different sizes and colors, creating a visually engaging composition. In addition to the triangles, there are also a few rectangles and a square in the painting, adding to the diversity of shapes. The overall scene is vibrant and dynamic, showcasing the artist's creativity and skill in combining various shapes and colors.",618718534,512,512,DPM++ 2M Karras,7,20,00031-618718534.png,
"a colorful and abstract artwork, likely a painting or a collage, with a predominantly orange background. The artwork is composed of various geometric shapes, including triangles and diamonds, arranged in a visually appealing manner. The shapes are painted in different colors, such as blue, green, and yellow, creating a vibrant and dynamic piece of art. The combination of these shapes and colors creates a sense of depth and complexity in the artwork.",2107164136,512,512,DPM++ 2M Karras,7,20,00032-2107164136.png,
"a colorful abstract painting with a variety of shapes and colors. The painting is predominantly composed of red, green, and blue hues, creating a vibrant and eye-catching design. The shapes within the painting are irregular and abstract, adding to the artistic nature of the piece. The painting is displayed on a wall, showcasing its striking visual appeal.",854334745,512,512,DPM++ 2M Karras,7,20,00033-854334745.png,
"a painting of a person's face with three distinct sections, each displaying a different color. The face is painted in red, green, and blue, creating a vibrant and eye-catching artwork. The face is positioned in the center of the image, with the red section on the left, the green section in the middle, and the blue section on the right. The painting captures the essence of the person's face, showcasing the artist's skill in blending colors and creating a visually appealing piece of art.",2921295001,512,512,DPM++ 2M Karras,7,20,00034-2921295001.png,
"a painting of a person's face, with two distinct sections of the face depicted. The first section is a smiling face with a red mouth, while the second section is a frowning face with a blue mouth. The two faces are positioned side by side, creating a striking contrast between the expressions. The painting is a creative representation of the contrasting emotions of happiness and sadness.",1663908524,512,512,DPM++ 2M Karras,7,20,00035-1663908524.png,
"two blue faces, one on the left and the other on the right, with red backgrounds. The faces are positioned close to each other, appearing to be kissing or touching noses. The faces are painted in a way that makes them look like masks, giving the impression of a playful or artistic scene.",1365195436,512,512,DPM++ 2M Karras,7,20,00036-1365195436.png,
" two blue faces, one on the left and one on the right, facing each other. Both faces are painted with red and blue colors, giving them a vibrant and artistic appearance. The faces are positioned close to each other, almost touching, as if they are having a conversation or interacting with each other. The scene is visually striking and captures the attention of the viewer.",1998201278,512,512,DPM++ 2M Karras,7,20,00037-1998201278.png,
"two faces, both with red and blue colors, positioned close to each other. The faces are facing each other, creating an interesting visual effect. The two faces have different expressions, with one appearing to be smiling and the other looking sad. The contrasting colors and expressions make the image visually striking and thought-provoking.",4099627761,512,512,DPM++ 2M Karras,7,20,00038-4099627761.png,
"two faces, one on the left side and the other on the right side of the frame. Both faces are blue and appear to be made of a material with a speckled texture. The faces are positioned close to each other, with the left face slightly overlapping the right face. The scene creates an interesting visual effect, as the two faces seem to be interacting or looking at each other.",1346296635,512,512,DPM++ 2M Karras,7,20,00039-1346296635.png,
"a close-up of a piece of artwork, which appears to be a painting or a drawing of two faces. The faces are positioned side by side, with one face on the left side and the other on the right side of the image. The faces are both looking towards the viewer, creating a sense of depth and engagement. The artwork is displayed on a surface, possibly a wall or a table, and it captures the viewer's attention with its unique and intriguing design.",2600702196,512,512,DPM++ 2M Karras,7,20,00040-2600702196.png,
"two faces, one on the left and the other on the right, both with a similar appearance. They are both drawn in a black and white style, giving them a somewhat eerie or artistic look. The faces are positioned close to each other, with the left face slightly overlapping the right face. The two faces appear to be staring at each other, creating a sense of interaction or connection between them.",347543071,512,512,DPM++ 2M Karras,7,20,00041-347543071.png,
" a black and white drawing of two faces, each with a distinct appearance. The faces are positioned side by side, with one face on the left side and the other on the right side of the image. The drawing is a close-up of the two faces, emphasizing their unique features. The contrast between the black and white colors of the drawing adds depth and interest to the artwork.",2142855100,512,512,DPM++ 2M Karras,7,20,00042-2142855100.png,
"a black and white drawing of a person's face, with the face split into two distinct sections. The left side of the face is lighter, while the right side is darker, creating a striking contrast. The face is positioned in the center of the image, with the two halves of the face facing each other. The drawing is a creative representation of a person's face, emphasizing the contrast between the two sides.",1410494976,512,512,DPM++ 2M Karras,7,20,00043-1410494976.png,
"a black and white drawing of a man's face, with the left side of the face and the right side of the face shown side by side. The drawing is a close-up of the man's face, capturing his features in detail. The man's eyes are open, and his expression appears to be serious. The drawing is a representation of the man's face, possibly for artistic purposes or as a portrait.",2765205056,512,512,DPM++ 2M Karras,7,20,00044-2765205056.png,
"a portrait of a man with a beard and mustache, drawn in black and white. The man appears to be looking directly at the viewer, with a serious expression on his face. The portrait is a close-up of the man's face, focusing on his features and facial hair. The drawing captures the man's distinctive appearance, making it an interesting and engaging piece of art.",27404367,512,512,DPM++ 2M Karras,7,20,00045-27404367.png,
"a man with a large beard and mustache, wearing a suit and tie. He appears to be staring intently at the viewer. The man's beard is quite prominent, covering a significant portion of his face. The suit and tie he is wearing suggest a formal or professional setting. The overall appearance of the man is quite distinctive and eye-catching.",877045283,512,512,DPM++ 2M Karras,7,20,00046-877045283.png,
"a man with a long beard and mustache, wearing a suit and tie. He is posing for a portrait, looking directly at the camera. The man's beard and mustache are quite prominent, adding a distinctive appearance to his overall look. The suit and tie he is wearing suggest a formal or professional setting, and the man appears to be confident and well-dressed.",2651399725,512,512,DPM++ 2M Karras,7,20,00047-2651399725.png,
"a black and white photograph of a man dressed in a suit and tie. He is wearing a suit jacket and a vest, giving him a formal and professional appearance. The man has a beard and mustache, adding to his distinguished look. The photograph captures the man's attire and facial features, creating a classic and timeless portrait.",1831647763,512,512,DPM++ 2M Karras,7,20,00048-1831647763.png,
"a man with a prominent mustache and a beard, dressed in a suit and tie. He appears to be posing for a portrait, possibly a black and white photograph. The man's facial hair and attire give him a distinguished and sophisticated appearance.",3583338136,512,512,DPM++ 2M Karras,7,20,00049-3583338136.png,
"a man with a long beard and mustache, wearing a suit and tie. He appears to be staring off into the distance, possibly deep in thought or contemplation. The man's suit is well-fitted, and he is wearing a tie that complements his attire. The overall atmosphere of the scene suggests a formal or professional setting.",2450014996,512,512,DPM++ 2M Karras,7,20,00050-2450014996.png,
"a man with a beard and mustache, wearing a suit and tie. He appears to be staring off into the distance, possibly deep in thought or contemplation. The man's suit and tie combination gives him a formal and professional appearance. The beard and mustache add a touch of personal style to his overall look.",3157209166,512,512,DPM++ 2M Karras,7,20,00051-3157209166.png,
"a man with a beard and mustache, wearing a suit and tie. He appears to be staring off into the distance, possibly deep in thought or contemplation. The man's suit and tie combination gives him a formal and professional appearance. The beard and mustache add a touch of personal style to his overall look.",3157209166,512,512,DPM++ 2M Karras,7,20,00052-3157209166.png,
"a man wearing a suit and tie, with a prominent mustache and beard. He appears to be dressed in formal attire, possibly for a special occasion or event. The man's facial hair is quite noticeable, giving him a distinguished and stylish appearance. The suit and tie combination, along with the well-groomed mustache and beard, create a polished and sophisticated look.",1211378839,512,512,DPM++ 2M Karras,7,20,00053-1211378839.png,
"30. a man with a large, bushy mustache and a beard, dressed in a suit and tie. He is wearing a blue tie, which stands out against his suit. The man appears to be posing for a picture, possibly for a magazine or a special occasion. The focus of the image is on the man's facial hair and his well-dressed appearance.",1959690911,512,512,DPM++ 2M Karras,7,20,00054-1959690911.png,
dots,2796033005,512,512,Euler a,7,20,00055-2796033005.png,abstract
A black and white polka dot fabric with a pocket,2347557907,512,512,Euler a,7,20,00056-2347557907.png,abstract
"A black and white polka dot fabric.

",755607337,512,512,Euler a,7,20,00057-755607337.png,abstract
